Age,Credit_Score,Education_Level,Employment_Status,Has_Dependents,Income,Loan_Purpose,Loan_Value,Married,Prior_Default,Sex,Wtd_Ave_Debt_Interest,Defaulted,Total_Debt
34.2,770,3,Full-Time,Y,67674,Business,21524,Married,N,Male,0.1033,N,21552
47.5,668,2,Unemployed,N,105446,Business,30020,Married,Y,Male,0.1613,Y,30244
19.2,771,0,Full-Time,Y,22897,Mortgage,1730,Married,N,Male,0.0446,N,1733
47.6,705,3,Full-Time,N,72755,Credit Card,10587,Married,N,Female,0.1513,N,10640
34.7,783,2,Full-Time,Y,37587,Auto,4662,Married,N,Female,0.0794,N,4665
38.9,675,3,Part-Time,Y,132061,Business,115104,Married,Y,Male,0.1582,Y,115384
33.6,766,1,Full-Time,Y,60780,Business,4063,Single,N,Male,0.096,N,4087
43.1,678,4,Full-Time,Y,100640,Credit Card,12153,Single,N,Female,0.1578,Y,12276
37.4,735,2,Full-Time,Y,80791,Mortgage,27414,Married,N,Female,0.1205,N,27453
45.4,663,2,Part-Time,Y,90589,Credit Card,7386,Married,N,Male,0.18,N,7474
43.5,700,2,Full-Time,N,137774,Credit Card,66435,Single,N,Female,0.1438,Y,66639
38.9,720,2,Part-Time,N,112114,Credit Card,47764,Single,Y,Male,0.1443,Y,47925
39.8,734,2,Full-Time,Y,50042,Mortgage,5008,Married,N,Female,0.0851,N,5023
36.3,726,2,Full-Time,N,56931,Mortgage,13613,Married,N,Female,0.0907,N,13625
35.5,684,2,Unemployed,N,113383,Business,75848,Single,Y,Male,0.1635,Y,76026
51.8,767,2,Full-Time,N,43904,Medical,9252,Married,N,Male,0.0974,N,9260
26.2,703,0,Full-Time,N,29003,Credit Card,925,Married,N,Female,0.0942,N,936
26.1,806,2,Full-Time,Y,35779,Credit Card,2304,Married,N,Female,0.0408,N,2308
39.6,700,2,Full-Time,N,52173,Mortgage,3538,Single,N,Female,0.1116,N,3581
47.8,717,2,Full-Time,N,98059,Business,15384,Single,N,Female,0.1341,N,15441
30.5,707,2,Part-Time,N,59312,Credit Card,3870,Single,N,Female,0.1028,N,3930
44.6,712,2,Full-Time,N,109726,Auto,40934,Single,N,Female,0.1504,N,41070
65.1,646,2,Part-Time,N,257053,Auto,264304,Single,N,Female,0.1743,Y,264842
52.2,691,2,Full-Time,N,171855,Credit Card,76788,Single,N,Female,0.1695,N,77004
49.1,671,2,Part-Time,Y,109090,Credit Card,10710,Married,Y,Male,0.1588,Y,10956
25.6,745,0,Full-Time,N,62347,Business,6219,Single,N,Non-Binary,0.0939,N,6248
27.8,676,2,Part-Time,Y,95615,Credit Card,29254,Single,N,Male,0.1354,Y,29406
27.5,785,1,Full-Time,Y,39580,Credit Card,6423,Married,N,Non-Binary,0.0778,N,6429
32.6,719,3,Unemployed,Y,153525,Auto,77780,Married,Y,Male,0.1421,Y,78052
41.4,676,2,Part-Time,N,113225,Auto,38459,Single,Y,Female,0.1664,Y,38618
52.4,669,2,Part-Time,N,159981,Auto,53747,Single,N,Male,0.1713,Y,54012
53,657,2,Part-Time,Y,97954,Business,42217,Married,Y,Female,0.1435,Y,42404
55,675,2,Full-Time,N,131645,Business,60655,Single,N,Female,0.1498,N,60804
38.8,623,2,Part-Time,N,111098,Business,23451,Single,Y,Female,0.1398,Y,23787
49.4,697,2,Full-Time,Y,76729,Credit Card,29436,Married,N,Female,0.1357,N,29500
37.7,756,2,Full-Time,Y,65311,Auto,40522,Married,N,Non-Binary,0.0885,N,40549
25.9,730,2,Full-Time,Y,76523,Credit Card,20495,Single,N,Male,0.1127,N,20558
41.8,753,0,Full-Time,N,55718,Credit Card,24836,,N,Female,0.1094,N,24844
37.6,640,2,Unemployed,Y,97249,Auto,27426,Married,Y,Male,0.136,Y,27679
39.4,714,2,Full-Time,Y,65175,Credit Card,4672,Married,N,Male,0.1205,N,4710
33.2,774,1,Full-Time,N,37107,Mortgage,4681,Married,N,Female,0.0734,N,4688
53.5,700,2,Full-Time,N,106177,Credit Card,59749,Single,N,Male,0.1725,N,59804
27.2,765,3,Full-Time,N,32121,Credit Card,1032,Single,N,Male,0.0691,N,1036
36,691,2,Full-Time,N,52566,Mortgage,11053,Single,N,Male,0.1074,N,11116
20,807,2,Full-Time,N,63550,Mortgage,9288,Married,N,Male,0.0939,N,9292
25.1,732,1,Full-Time,N,67547,Business,3194,Single,N,Male,0.0811,N,3267
49.7,656,2,Part-Time,Y,111345,Auto,52069,Married,Y,Non-Binary,0.1805,Y,52292
56.9,647,2,Part-Time,Y,153967,Credit Card,137493,Married,Y,Female,0.2073,Y,137734
52.1,623,2,Part-Time,N,152112,Business,57845,Single,Y,Male,0.1854,Y,58193
56.3,726,2,Full-Time,N,177350,Business,110085,Single,N,Female,0.165,N,110236
37.9,700,2,Part-Time,N,73833,Business,8722,Married,N,Male,0.1301,N,8796
53.4,700,3,Part-Time,N,138652,Auto,19224,Single,N,Male,0.1712,N,19396
37.7,751,2,Full-Time,Y,111433,Business,98097,Married,N,Female,0.0949,N,98187
43.4,703,2,Full-Time,Y,70011,Auto,6372,Single,N,Male,0.1244,Y,6485
20.7,755,2,Full-Time,N,24469,Auto,1197,Married,N,Female,0.0611,N,1206
25.6,691,1,Part-Time,N,34484,Credit Card,1427,Single,N,Female,0.095,N,1456
39.6,649,2,Part-Time,Y,58527,Business,13016,Single,Y,Male,0.1394,Y,13116
23.8,804,1,Full-Time,Y,41585,Mortgage,1902,Married,N,Male,0.0911,N,1904
37.2,704,2,Full-Time,Y,99798,Credit Card,34858,Married,N,Female,0.1323,N,34966
32.3,668,2,Full-Time,Y,40661,Credit Card,1653,Married,N,Male,0.1327,Y,1699
29.8,682,3,Part-Time,N,113269,Credit Card,16678,Single,Y,Female,0.1543,Y,16875
36.8,642,2,Part-Time,Y,74201,Auto,4405,Single,Y,Male,0.1087,Y,4601
43,663,2,Part-Time,Y,88101,Auto,24061,Married,N,Female,0.1476,Y,24221
22.6,711,1,Full-Time,N,46070,Credit Card,4457,Single,N,Male,0.0872,N,4494
20.3,779,2,Full-Time,Y,30121,Mortgage,907,Married,N,Female,0.0792,N,911
36.7,650,2,Part-Time,N,70235,Business,28611,Single,Y,Female,0.121,Y,28751
29.9,721,2,Full-Time,N,91253,Credit Card,17487,Single,N,Male,0.1382,N,17564
27.5,776,1,Full-Time,N,36272,Credit Card,2894,Married,N,Male,0.1074,N,2900
50.1,682,2,Full-Time,N,180153,Auto,94119,Single,N,Female,0.1839,Y,94368
29.7,665,0,Part-Time,N,39374,Auto,6356,Single,Y,Female,0.1165,Y,6434
41.3,691,2,Full-Time,Y,56420,Credit Card,37880,Married,N,Male,0.1168,N,37930
48.1,714,0,Full-Time,Y,42772,Credit Card,6403,Married,N,Male,0.1188,N,6438
39.1,708,3,Part-Time,N,132862,Credit Card,81200,Single,N,Female,0.1699,Y,81338
36.6,650,2,Part-Time,N,113264,Credit Card,38486,Single,Y,Non-Binary,0.1723,Y,38623
34.8,744,2,Full-Time,N,73187,Credit Card,17140,Single,N,Male,0.1239,N,17154
36.1,677,3,Part-Time,N,130017,Credit Card,21975,Single,Y,Male,0.1522,Y,22228
43.7,688,2,Part-Time,N,75836,Auto,27605,Single,Y,Female,0.1428,Y,27741
40.2,631,2,Part-Time,N,99526,Credit Card,27735,Single,Y,Male,0.1878,Y,27930
29.9,704,3,Full-Time,Y,59823,Mortgage,18609,Single,N,Male,0.1144,N,18651
61.1,605,2,Part-Time,Y,212940,Credit Card,99754,Single,Y,Male,0.1761,Y,100451
30.1,772,2,Full-Time,Y,59493,Credit Card,15573,Married,N,Male,0.093,N,15585
40.9,648,0,Part-Time,N,48510,Business,6118,Single,Y,Female,0.1369,Y,6203
43,716,2,Part-Time,N,65031,Business,3383,Married,N,Male,0.1269,N,3438
43.7,732,2,Full-Time,N,74744,Credit Card,7262,Single,N,Male,0.1208,N,7297
39.9,686,2,Full-Time,Y,59136,Credit Card,5945,Single,N,Male,0.1216,N,5978
34.5,758,3,Full-Time,N,110859,Medical,19663,Single,N,Male,0.1224,N,19701
41,769,2,Full-Time,Y,84389,Medical,4985,Married,N,Male,0.1323,N,5000
33.4,709,3,Part-Time,Y,83791,Auto,21063,Married,Y,Female,0.1403,Y,21210
40.9,689,2,Part-Time,N,143196,Auto,36909,Single,N,Female,0.1566,Y,37130
45.9,678,2,Part-Time,Y,112950,Credit Card,20412,Married,Y,Female,0.1845,Y,20569
29.2,670,0,Part-Time,Y,56629,Business,9941,Married,N,Male,0.1315,Y,10042
48.7,725,2,Part-Time,Y,91217,Credit Card,11648,Married,N,Non-Binary,0.1556,Y,11744
41.3,750,3,Full-Time,Y,53201,Medical,3396,Married,N,Male,0.0937,N,3403
21.2,784,0,Full-Time,N,30372,Credit Card,1199,Single,N,Male,0.0443,N,1210
37.4,797,1,Full-Time,N,37038,Medical,1920,Single,N,Male,0.0793,N,1923
32.8,732,2,Full-Time,N,48268,Business,4194,Single,N,Female,0.0561,N,4222
52.6,661,3,Part-Time,N,104937,Business,7708,Single,Y,Male,0.1646,Y,7886
41.2,710,2,Full-Time,N,102006,Auto,9364,Single,N,Male,0.1239,N,9502
46,,4,Part-Time,Y,66055,Credit Card,12217,Married,N,Female,0.1415,N,12285
51,685,2,Part-Time,Y,82937,Credit Card,19947,Married,N,Female,0.1382,N,20065
36.4,729,2,Full-Time,N,79528,Credit Card,17076,Single,N,Female,0.1205,N,17103
39.5,673,2,Full-Time,N,72197,Auto,9382,Single,N,Female,0.1206,Y,9496
40,697,2,Full-Time,Y,74300,Auto,11593,Single,N,Female,0.1041,N,11664
39.5,684,2,Full-Time,N,86431,Credit Card,12699,Single,N,Female,0.1091,N,12803
28.3,599,3,Part-Time,N,102437,Credit Card,19937,Single,Y,Female,0.1688,Y,20218
30.9,759,1,Full-Time,Y,24223,Auto,645,Married,N,Female,0.0671,N,649
45.3,721,2,Full-Time,N,74346,Business,7738,Single,N,Male,0.1211,N,7780
58.3,585,2,Part-Time,Y,329133,Credit Card,184156,Married,Y,Male,0.2358,Y,185255
46.8,685,2,Full-Time,N,95466,Mortgage,9113,Single,N,Non-Binary,0.1461,N,9172
44.1,674,3,Part-Time,N,83828,Credit Card,28108,Single,N,Female,0.139,N,28221
31.2,702,2,Part-Time,N,60197,Credit Card,10509,Single,Y,Male,0.1203,Y,10588
71,619,3,Unemployed,N,286313,Auto,368886,Single,Y,Female,0.2146,Y,369734
18.7,818,1,Full-Time,Y,20599,Mortgage,1103,Married,N,Male,0.0349,N,1103
35,670,2,Part-Time,Y,55151,Auto,16121,Married,N,Female,0.1192,Y,16184
38.8,667,4,Part-Time,N,78352,Business,9208,Married,Y,Female,0.1279,Y,9359
37.9,684,3,Unemployed,Y,114082,Business,32536,Single,Y,Non-Binary,0.1423,Y,32727
54.6,686,2,Full-Time,Y,105020,Business,17647,Married,N,Non-Binary,0.1224,N,17758
28.1,820,3,Full-Time,Y,34278,Mortgage,6815,Married,N,Male,0.0496,N,6815
21.3,711,2,Full-Time,N,59177,Credit Card,7004,Married,N,Female,0.1001,N,7062
31.3,693,0,Part-Time,N,25181,Credit Card,2029,Single,N,Female,0.0715,N,2057
31.8,716,3,Full-Time,N,88221,Credit Card,18679,Single,N,Female,0.1237,N,18768
52.5,668,2,Part-Time,N,127476,Business,26000,Single,Y,Male,0.1759,Y,26250
46.3,703,2,Full-Time,N,96694,Auto,18699,Single,N,Female,0.1304,N,18813
59.8,649,3,Part-Time,Y,216900,Auto,155251,Married,Y,Non-Binary,0.189,Y,155805
57.7,675,2,Full-Time,Y,192286,Credit Card,48066,Married,N,Male,0.1816,Y,48339
43.5,725,2,Full-Time,N,67209,Credit Card,4516,Married,N,Female,0.1353,N,4587
44.9,759,2,Full-Time,N,76086,Business,24892,Single,N,Female,0.1066,N,24930
39.8,702,2,Full-Time,N,77407,Business,14380,Single,N,Male,0.1358,Y,14472
40.9,786,3,Full-Time,N,63520,Medical,8473,Single,N,Male,0.1108,N,8481
24.3,771,2,Full-Time,N,59045,Credit Card,4881,Married,N,Female,0.0756,N,4902
30.8,702,1,Full-Time,N,38693,Credit Card,3294,Single,N,Non-Binary,0.1155,N,3317
48.6,750,2,Full-Time,Y,56277,Medical,6967,Married,N,Non-Binary,0.0958,N,6984
43.6,772,2,Full-Time,N,79099,Medical,8759,Single,N,Female,0.1112,N,8784
35.9,747,3,Full-Time,Y,56800,Credit Card,14841,Married,N,Male,0.0968,N,14858
36.6,670,3,Part-Time,N,99276,Auto,38437,,Y,Female,0.1308,Y,38617
40.1,622,2,Unemployed,N,119399,Business,19958,Single,Y,Female,0.1344,Y,20284
42,641,2,Part-Time,N,220208,Credit Card,77586,Single,Y,Female,0.1944,Y,78255
32.1,769,0,Full-Time,N,49804,Credit Card,2728,Single,N,Non-Binary,0.1089,N,2739
23.2,687,2,Full-Time,N,58374,Auto,12608,Single,N,Female,0.1227,N,12673
39.5,723,2,Full-Time,N,71438,,15310,Single,N,Male,0.0999,N,15345
34.3,730,1,Full-Time,Y,57362,Auto,3948,Married,N,Male,0.1149,N,3987
38.1,707,3,Full-Time,N,44299,Mortgage,3336,Married,N,Non-Binary,0.1089,N,3355
52.6,679,2,Full-Time,Y,93426,Business,9600,Married,N,Male,0.1216,N,9720
28.8,711,1,Full-Time,Y,61131,Business,10463,Married,N,Male,0.1028,N,10523
35.9,687,2,Part-Time,N,83107,Credit Card,26936,Single,Y,Male,0.1396,Y,27077
41.8,765,2,Full-Time,N,61275,Credit Card,12390,Single,N,Male,0.1419,N,12405
43.6,668,2,Full-Time,N,77729,Credit Card,7250,Married,N,Male,0.1588,Y,7344
62.5,719,3,Full-Time,Y,110651,Business,37954,Married,N,Non-Binary,0.1582,N,38000
55.7,693,2,Full-Time,N,139797,Business,66446,Single,N,Male,0.1788,N,66587
40.4,675,2,Part-Time,Y,114909,Credit Card,14523,Married,Y,Female,0.1523,Y,14750
47.5,325,3,Prat-Time,Y,276095,Credit Crad,129588,Married,Y,Femalee,0.1627,Y,129123
47.4,662,2,Part-Time,N,108703,Business,29540,Married,N,Female,0.1668,Y,29717
