Age,Credit_Score,Education_Level,Employment_Status,Has_Dependents,Income,Loan_Purpose,Loan_Value,Married,Prior_Default,Sex,Wtd_Ave_Debt_Interest,Total_Debt,Defaulted
38.4,660.0,2,Part-Time,Y,82340.0,Credit Card,34577,Married,N,Male,0.1516,34673,Y
36.2,751.0,2,Full-Time,Y,63369.0,Credit Card,4819,Married,N,Male,0.1347,4832,N
34.2,766.0,2,Full-Time,N,71498.0,Business,14313,Single,N,Male,0.121,14332,N
35.2,761.0,0,Full-Time,N,33379.0,Medical,9024,Single,N,Male,0.085,9029,N
35.2,673.0,2,Part-Time,Y,174455.0,Business,276954,Married,N,Non-Binary,0.1439,277346,Y
49.3,643.0,3,Part-Time,Y,98360.0,Credit Card,30959,Married,N,Male,0.1536,31110,Y
34.7,741.0,3,Full-Time,N,84793.0,Mortgage,23007,Single,N,Male,0.1118,23043,N
33.6,689.0,1,Full-Time,N,48036.0,Credit Card,6461,Single,N,Female,0.0984,6509,N
43.6,644.0,2,Part-Time,N,180555.0,Auto,146699,Single,Y,Female,0.1913,147098,Y
36.3,766.0,1,Full-Time,Y,47563.0,Credit Card,6334,Single,N,Male,0.1002,6343,N
18.7,519.0,2,Full-Tme,Y,114855.0,Bussins,23744,Single,N,Femalee,0.1038,23729,N
53.3,719.0,1,Full-Time,N,63305.0,Medical,12824,Single,N,Male,0.0922,12864,N
40.4,704.0,2,Full-Time,N,127139.0,Credit Card,33945,Married,N,Male,0.1772,34038,N
43.9,716.0,4,Full-Time,N,45445.0,Mortgage,5989,Single,N,Male,0.0914,6035,N
25.3,804.0,0,Full-Time,N,32918.0,Auto,1842,Married,N,Female,0.0899,1843,N
29.5,724.0,0,Full-Time,N,45839.0,Mortgage,1471,Married,N,Male,0.0824,1491,N
34.9,683.0,1,Full-Time,N,42953.0,Credit Card,5166,Married,N,Female,0.1003,5214,N
27.5,772.0,1,Full-Time,N,41936.0,Medical,5627,Single,N,Female,0.0633,5646,N
37.6,744.0,0,Full-Time,Y,39412.0,Medical,2641,Married,N,Female,0.0716,2648,N
43.5,697.0,3,Full-Time,Y,89301.0,Credit Card,28708,Married,N,Male,0.1471,28798,N
37.6,752.0,2,Full-Time,N,81117.0,Medical,9212,Single,N,Male,0.1365,9225,N
63.7,734.0,3,Full-Time,N,128962.0,Credit Card,24946,Single,N,Male,0.1566,25017,N
36.8,771.0,2,Full-Time,N,91920.0,Mortgage,17743,Single,N,Female,0.1067,17766,N
35.0,701.0,2,Full-Time,N,87407.0,Credit Card,22156,Single,N,Female,0.1172,22265,N
30.2,746.0,1,Full-Time,Y,43709.0,Business,3439,Married,N,Female,0.079,3476,N
70.7,664.0,2,Full-Time,N,109154.0,Credit Card,96507,Single,N,Male,0.1664,96658,N
31.1,769.0,2,Full-Time,N,54921.0,Mortgage,3619,Single,N,Female,0.1042,3624,N
26.2,801.0,2,Full-Time,N,59909.0,Mortgage,15791,Single,N,Male,0.0954,15796,N
33.0,743.0,2,Full-Time,N,97249.0,Auto,17022,Single,N,Female,0.1312,17098,N
48.5,718.0,2,Full-Time,N,88271.0,Credit Card,42855,Single,N,Male,0.1371,42917,N
31.3,979.0,1,Full-Tme,N,405719.0,Medical,312753,Married,N,No-Barny,0.0907,312773,N
43.6,677.0,2,Part-Time,Y,109544.0,Credit Card,57599,Married,N,Female,0.1343,57771,Y
40.5,739.0,2,Full-Time,N,141945.0,Credit Card,94697,Single,N,Male,0.1511,94796,N
44.0,678.0,0,Full-Time,Y,46406.0,Auto,4522,Married,N,Female,0.1163,4576,N
24.9,742.0,3,Full-Time,Y,54091.0,Auto,3511,Married,N,Female,0.0956,3533,N
37.9,673.0,1,Part-Time,Y,76147.0,Credit Card,4059,Married,N,Male,0.1299,4166,Y
42.4,648.0,3,Part-Time,N,88731.0,Auto,14958,Single,Y,Male,0.1784,15120,Y
21.5,739.0,0,Full-Time,N,33771.0,Credit Card,3421,Married,N,Female,0.0754,3432,N
21.0,752.0,2,Full-Time,Y,48007.0,Mortgage,7836,Married,N,Female,0.1094,7841,N
46.4,750.0,2,Full-Time,N,107432.0,Credit Card,43858,Married,N,Male,0.1303,43915,N
25.1,751.0,3,Full-Time,N,43251.0,Business,4864,Single,N,Female,0.1051,4874,N
40.7,722.0,2,Full-Time,Y,113176.0,Credit Card,29460,Single,N,Female,0.1212,29589,N
49.1,681.0,2,Part-Time,N,129656.0,Auto,79010,Married,Y,Male,0.1652,79194,Y
39.5,678.0,2,Full-Time,N,160123.0,Business,48714,Married,N,Female,0.1351,48983,N
41.7,659.0,2,Part-Time,N,139191.0,Business,34873,Single,Y,Male,0.1429,35185,Y
18.0,731.0,1,Part-Time,Y,27296.0,Credit Card,2757,Married,Y,Female,0.0774,2775,Y
46.0,650.0,2,Part-Time,N,125902.0,Credit Card,518337,Married,Y,Non-Binary,0.1566,518626,Y
30.7,673.0,2,Part-Time,N,64491.0,Auto,2495,Single,Y,Non-Binary,0.1471,2578,Y
44.4,713.0,3,Full-Time,N,141070.0,Business,31841,Married,N,Female,0.1605,31993,N
23.5,733.0,0,Full-Time,N,34200.0,Auto,2222,Single,N,Female,0.0937,2231,N
25.3,694.0,0,Full-Time,N,31281.0,Credit Card,1957,Married,N,Male,0.1097,1980,N
39.1,722.0,2,Full-Time,Y,73608.0,Credit Card,9211,Married,N,Male,0.0937,9267,N
20.9,724.0,2,Full-Time,N,29906.0,Mortgage,2415,Single,N,Male,0.0985,2423,N
29.7,694.0,2,Full-Time,Y,133199.0,Credit Card,8870,Single,N,Female,0.1552,9038,Y
55.2,669.0,2,Part-Time,Y,181675.0,Business,29704,Married,Y,Female,0.1804,30078,Y
39.5,705.0,2,Full-Time,N,73577.0,Medical,10285,Single,N,Male,0.1151,10314,N
60.0,588.0,2,Part-Time,Y,140071.0,Business,41200,Married,Y,Female,0.19,41572,Y
42.7,673.0,1,Part-Time,Y,82389.0,Auto,16970,Married,N,Male,0.1439,17093,N
31.8,763.0,2,Full-Time,Y,63846.0,Mortgage,15490,Married,N,Male,0.0942,15502,N
53.2,670.0,2,Part-Time,N,112202.0,Auto,37767,Single,N,Male,0.1676,37921,N
36.9,749.0,2,Full-Time,N,107814.0,Credit Card,30221,Single,N,Male,0.1324,30325,N
38.0,691.0,0,Full-Time,N,59193.0,Business,5956,Married,N,Non-Binary,0.114,6028,N
59.8,745.0,2,Full-Time,N,80972.0,Medical,10490,Married,N,Male,0.1177,10506,N
45.9,770.0,2,Full-Time,N,75966.0,Medical,10964,Single,N,Male,0.125,10967,N
34.3,775.0,0,Full-Time,N,62919.0,Business,6334,Single,N,Male,0.0791,6349,N
59.5,608.0,3,Part-Time,N,153695.0,Auto,35433,Married,Y,Female,0.1914,35812,Y
40.1,732.0,2,Full-Time,N,65624.0,Credit Card,14642,Single,N,Male,0.0795,14713,N
35.8,753.0,2,Part-Time,Y,127478.0,Business,71502,Single,N,Female,0.1507,71608,Y
34.4,781.0,2,Full-Time,Y,52430.0,Mortgage,9346,Married,N,Female,0.0937,9353,N
35.8,705.0,2,Full-Time,N,124711.0,Credit Card,57545,Single,N,Female,0.1615,57644,N
46.8,642.0,2,Full-Time,Y,104573.0,Auto,30619,Married,N,Male,0.1758,30762,Y
21.8,691.0,0,Full-Time,N,46929.0,Business,3744,Married,N,Male,0.1343,3779,N
36.5,760.0,2,Full-Time,N,46801.0,Mortgage,6790,Single,N,Female,0.0793,6799,N
33.6,749.0,0,Full-Time,N,37140.0,Mortgage,6897,Married,N,Female,0.0709,6904,N
34.7,677.0,3,Full-Time,N,85002.0,Credit Card,14450,Married,N,Male,0.1486,14558,Y
47.8,734.0,2,Full-Time,N,100304.0,Business,24145,Married,N,Female,0.124,24241,N
36.3,654.0,3,Part-Time,Y,123429.0,Credit Card,54844,Married,Y,Male,0.1752,55043,Y
37.1,633.0,2,Part-Time,N,89545.0,Business,12027,Single,Y,Female,0.1639,12217,Y
41.1,628.0,2,Part-Time,N,105956.0,Credit Card,59501,Married,N,Female,0.1812,59759,Y
41.4,740.0,2,Full-Time,Y,81093.0,Business,9206,Married,N,Non-Binary,0.1412,9246,N
22.5,753.0,3,Full-Time,Y,33149.0,Credit Card,5055,Single,N,Male,0.0843,5065,N
39.8,609.0,2,Part-Time,Y,68412.0,Credit Card,11232,,N,Male,0.1711,11373,Y
45.9,610.0,2,Part-Time,Y,90092.0,Auto,19480,Married,N,Female,0.1748,19697,Y
41.4,676.0,2,Part-Time,N,113225.0,Auto,38459,Single,Y,Female,0.1664,38618,Y
25.2,748.0,1,Full-Time,N,40155.0,Mortgage,4515,Single,N,Male,0.0723,4527,N
50.3,703.0,2,Full-Time,Y,102850.0,Auto,13751,Married,N,Non-Binary,0.1569,13881,Y
40.9,792.0,2,Full-Time,Y,58772.0,Credit Card,5872,Single,N,Female,0.0706,5874,N
37.8,764.0,3,Full-Time,Y,97327.0,Business,20839,Married,N,Male,0.12,20873,N
34.9,762.0,2,Full-Time,N,88884.0,Mortgage,19751,Single,N,Male,0.1059,19796,N
64.3,737.0,2,Full-Time,Y,88496.0,Mortgage,16446,Married,N,Female,0.1089,16496,N
29.1,645.0,2,Part-Time,N,78590.0,Auto,20382,Married,Y,Female,0.1352,20542,Y
34.0,669.0,2,Part-Time,Y,69120.0,Business,36309,Single,Y,Female,0.1402,36417,Y
40.7,718.0,2,Full-Time,N,68188.0,Credit Card,4184,Single,N,Male,0.1191,4254,N
23.4,722.0,1,Unemployed,N,71412.0,Credit Card,16828,Single,Y,Female,0.114,16936,Y
32.9,705.0,3,Full-Time,N,69227.0,Business,6230,Single,N,Female,0.1356,6304,N
40.6,694.0,2,Full-Time,Y,159634.0,Credit Card,33127,Married,N,Male,0.159,33324,N
40.0,638.0,3,Part-Time,Y,94200.0,Auto,6212,Single,Y,Male,0.1391,6467,Y
40.1,689.0,3,Part-Time,N,138028.0,Credit Card,45723,Single,N,Male,0.1495,45937,Y
20.6,754.0,0,Full-Time,N,29262.0,Credit Card,2055,Married,N,Male,0.0996,2060,N
29.8,728.0,0,Full-Time,N,29783.0,Credit Card,1596,Single,N,Male,0.096,1613,N
31.6,649.0,2,Part-Time,N,107683.0,Credit Card,12755,Single,Y,Male,0.1693,12950,Y
51.6,742.0,2,Full-Time,N,126509.0,Credit Card,68818,Married,N,Female,0.1535,68872,N
39.8,713.0,2,Full-Time,Y,89790.0,Business,16124,Single,N,Male,0.14,16202,N
27.3,751.0,2,Full-Time,N,66239.0,Credit Card,12285,Married,N,Male,0.0999,12315,N
42.5,757.0,2,Full-Time,N,61901.0,Medical,11112,Single,N,Male,0.0974,11124,N
20.6,720.0,2,Full-Time,Y,33485.0,Business,2467,Married,N,Male,0.0871,2471,N
25.0,757.0,2,Full-Time,N,45805.0,Medical,2517,Single,N,Male,0.0999,2527,N
32.6,691.0,2,Part-Time,N,67130.0,Credit Card,13970,Single,Y,Female,0.1452,14072,Y
33.3,736.0,3,Full-Time,Y,50383.0,Credit Card,5077,Married,N,Non-Binary,0.1034,5106,N
52.2,738.0,2,Full-Time,Y,103518.0,Mortgage,16073,Married,N,Non-Binary,0.1681,16098,N
43.6,681.0,2,Part-Time,N,112542.0,Credit Card,51929,Single,N,Non-Binary,0.1553,52082,Y
38.3,660.0,3,Full-Time,N,58951.0,Credit Card,4865,Married,N,Female,0.1575,4928,N
39.9,721.0,0,Full-Time,N,26213.0,Credit Card,2405,Single,N,Female,0.072,2415,N
28.6,711.0,3,Part-Time,Y,83891.0,Credit Card,8444,Married,N,Female,0.1582,8558,Y
42.9,647.0,2,Part-Time,Y,99705.0,Business,41752,Married,Y,Female,0.1641,41945,Y
42.5,659.0,2,Part-Time,N,132758.0,Credit Card,54635,Single,Y,Female,0.1823,54892,Y
27.7,618.0,2,Part-Time,N,107655.0,Business,19702,Single,Y,Female,0.1582,20006,Y
34.4,713.0,2,Part-Time,N,84821.0,Credit Card,28778,Married,N,Female,0.1362,28856,N
54.2,652.0,2,Part-Time,N,97132.0,Business,30191,Married,Y,Non-Binary,0.1778,30363,Y
24.5,713.0,0,Full-Time,N,41997.0,Mortgage,3704,Single,N,Female,0.0825,3734,N
59.2,707.0,2,Full-Time,Y,119612.0,Credit Card,45781,Married,N,Male,0.1544,45857,N
45.4,644.0,2,Part-Time,N,196383.0,Auto,30852,Married,N,Female,0.1866,31336,Y
29.5,743.0,2,Full-Time,N,80575.0,Auto,24670,Married,N,Female,0.1065,24771,Y
24.2,677.0,2,Part-Time,N,55681.0,Auto,10231,Single,N,Female,0.0903,10313,N
39.1,679.0,2,Full-Time,N,60893.0,Business,5561,Single,N,Female,0.1164,5618,N
56.2,646.0,2,Full-Time,Y,50733.0,Credit Card,20590,Married,N,Female,0.1397,20677,Y
28.0,759.0,0,Full-Time,N,33370.0,Medical,1336,Married,N,Non-Binary,0.0841,1340,N
39.9,720.0,2,Full-Time,N,48037.0,Mortgage,6461,Single,N,Female,0.0746,6496,N
39.7,674.0,4,Part-Time,N,77803.0,Business,14527,Single,Y,Male,0.1716,14617,Y
21.2,659.0,1,Part-Time,N,39402.0,Business,3726,Married,Y,Female,0.1246,3784,Y
34.0,732.0,3,Full-Time,N,34780.0,Mortgage,2056,Single,N,Female,0.0883,2066,N
22.7,961.0,0,Full-Tme,N,312949.0,Credit Crad,284017,Single,N,Femalee,0.0608,283980,N
53.2,660.0,1,Part-Time,N,79729.0,Business,41318,Single,Y,Male,0.1383,41479,Y
33.8,751.0,3,Full-Time,Y,36901.0,Mortgage,2859,Married,N,Non-Binary,0.0977,2865,N
29.9,732.0,2,Part-Time,Y,110685.0,Auto,20826,Married,N,Male,0.1268,20972,Y
47.5,325.0,3,Prat-Time,Y,276095.0,Credit Crad,129588,Married,Y,Femalee,0.1627,129123,Y
31.2,756.0,4,Full-Time,N,54454.0,Medical,8006,Single,N,Male,0.1095,8023,N
49.8,672.0,3,Part-Time,N,119893.0,Credit Card,40248,Single,N,Male,0.1664,40414,N
22.1,687.0,1,Part-Time,N,59221.0,Credit Card,9819,Married,N,Female,0.0874,9912,Y
31.7,690.0,2,Part-Time,Y,63925.0,Credit Card,20432,Married,Y,Female,0.1145,20532,Y
32.9,704.0,2,Part-Time,Y,44638.0,Credit Card,8568,Married,N,Male,0.1234,8607,Y
35.4,668.0,2,Part-Time,N,68707.0,Credit Card,6608,Single,N,Female,0.1709,6712,Y
36.6,763.0,0,Full-Time,N,44129.0,Medical,7400,Married,N,Female,0.1085,7407,N
40.0,691.0,2,Full-Time,N,70128.0,Auto,10819,Single,N,Non-Binary,0.1381,10875,N
41.5,718.0,2,Part-Time,N,104173.0,Business,9766,Single,N,Male,0.1513,9867,Y
34.2,749.0,0,Full-Time,N,44284.0,Medical,3922,Single,N,Female,0.0869,3936,N
38.9,742.0,2,Full-Time,Y,59879.0,Credit Card,2510,Married,N,Female,0.1,2524,N
32.8,1034.0,2,Full-Time,Y,520891.0,Credit Crad,1220969,Married,N,Mail,0.1152,1221379,N
22.5,675.0,2,Part-Time,Y,62061.0,Credit Card,18487,Married,N,Male,0.1264,18575,Y
36.0,698.0,1,Full-Time,N,42202.0,Mortgage,2849,Single,N,Male,0.1178,2873,N
29.2,713.0,2,Full-Time,N,56471.0,Credit Card,11799,Married,N,Male,0.092,11857,N
39.9,775.0,1,Full-Time,Y,72424.0,Credit Card,30422,Married,N,Non-Binary,0.0989,30433,N
27.8,713.0,2,Full-Time,N,39957.0,Credit Card,6546,Married,N,Male,0.1166,6562,N
56.6,629.0,3,Unemployed,N,299992.0,Credit Card,413977,Single,Y,Male,0.1977,414903,Y
30.2,725.0,0,Full-Time,N,36469.0,Medical,3724,Married,N,Female,0.0892,3739,N
35.1,730.0,2,Full-Time,N,51448.0,Credit Card,4500,Married,N,Male,0.1164,4532,N
21.0,756.0,3,Full-Time,Y,51829.0,Business,15043,Married,N,Male,0.0705,15071,N
26.1,399.0,2,Full-Tme,N,294522.0,Bussins,208183,Married,N,Mail,0.1089,208076,N
22.7,761.0,0,Full-Time,N,43312.0,Credit Card,3189,Single,N,Female,0.078,3211,N
55.3,651.0,2,Full-Time,N,103353.0,Business,13885,Married,N,Male,0.1307,14057,N
30.1,732.0,2,Full-Time,N,50615.0,Credit Card,6917,Single,N,Non-Binary,0.0963,6941,N
32.7,719.0,3,Full-Time,Y,71809.0,Auto,10312,Married,N,Male,0.1137,10377,N
63.0,633.0,2,Part-Time,N,252936.0,Credit Card,57578,Single,Y,Female,0.2193,58221,Y
54.1,638.0,2,Part-Time,Y,124224.0,Credit Card,49380,Married,Y,Female,0.1594,49651,Y
42.1,711.0,2,Full-Time,Y,80119.0,Credit Card,19898,Married,N,Female,0.1098,19987,N
36.2,681.0,2,Part-Time,N,130322.0,Credit Card,20380,Single,N,Female,0.1594,20654,Y
32.5,712.0,3,Full-Time,Y,50275.0,Credit Card,5308,Married,N,Male,0.0903,5348,N
40.9,806.0,0,Full-Time,Y,44815.0,Credit Card,2410,Married,N,Female,0.0833,2410,N
43.8,709.0,2,Full-Time,N,77919.0,Business,20642,Single,N,Female,0.1353,20688,N
52.8,693.0,2,Full-Time,N,149781.0,Credit Card,60571,Single,N,Female,0.1371,60790,N
35.0,735.0,2,Full-Time,N,98391.0,Auto,30978,Single,N,Male,0.1359,31061,N
30.3,703.0,2,Full-Time,N,53919.0,Credit Card,5523,Single,N,Female,0.134,5556,N
27.8,676.0,2,Part-Time,Y,95615.0,Credit Card,29254,Single,N,Male,0.1354,29406,Y
21.8,767.0,1,Full-Time,N,20965.0,Mortgage,747,Single,N,Non-Binary,0.0614,749,N
35.5,770.0,1,Full-Time,Y,60906.0,Medical,8903,Married,N,Non-Binary,0.0985,8909,N
22.7,771.0,0,Full-Time,N,30380.0,Mortgage,1107,Single,N,Non-Binary,0.0704,1112,N
49.7,673.0,2,,Y,57895.0,Mortgage,2346,Married,N,Male,0.1077,2412,N
30.2,752.0,0,Full-Time,Y,44899.0,Mortgage,3023,Single,N,Male,0.0958,3040,N
39.3,709.0,3,Full-Time,N,106195.0,Auto,16916,Single,N,Female,0.1257,17045,N
20.5,822.0,1,Full-Time,N,35202.0,Credit Card,2478,Single,N,Female,0.0752,2479,N
29.6,669.0,2,Part-Time,Y,77931.0,Auto,9716,Married,N,Female,0.1419,9809,N
44.4,686.0,3,Full-Time,N,104044.0,Credit Card,11907,Married,N,Female,0.1297,12041,N
39.9,699.0,3,Part-Time,N,97340.0,Credit Card,45480,Single,N,Male,0.1141,45643,Y
40.9,661.0,2,Part-Time,Y,59456.0,Business,10605,Single,Y,Male,0.1122,10736,Y
40.8,730.0,2,Full-Time,N,47924.0,Auto,5512,Married,N,Male,0.0999,5547,N
37.6,688.0,2,Full-Time,N,59490.0,Credit Card,10617,Married,N,Male,0.1052,10674,N
36.4,740.0,2,Full-Time,N,68033.0,Mortgage,14348,Single,N,Male,0.127,14373,N
45.7,686.0,2,Part-Time,N,86466.0,Auto,4485,Single,N,Female,0.1279,4597,N
43.2,665.0,2,Part-Time,N,150238.0,Credit Card,54171,Married,N,Male,0.195,54413,Y
35.2,726.0,2,Full-Time,Y,51750.0,Auto,3481,Married,N,Male,0.1022,3510,N
50.0,663.0,3,Full-Time,N,95779.0,Credit Card,68802,Married,N,Female,0.1629,68912,N
32.7,739.0,3,Full-Time,N,41282.0,Credit Card,15678,Single,N,Female,0.0978,15699,N
31.8,700.0,1,Full-Time,N,77829.0,Credit Card,4240,Single,N,Non-Binary,0.1372,4302,N
58.0,592.0,2,Part-Time,N,242269.0,Auto,293470,Single,Y,Male,0.2436,294194,Y
39.6,718.0,1,Full-Time,N,103575.0,Mortgage,63294,Married,N,Female,0.139,63404,N
40.4,683.0,2,Part-Time,N,143309.0,Auto,28752,Single,Y,Female,0.1808,29013,Y
43.8,687.0,2,Part-Time,N,106236.0,Business,37243,Single,Y,Male,0.1397,37423,Y
40.7,703.0,2,Full-Time,N,75894.0,Mortgage,59326,Single,N,Male,0.1144,59363,N
47.0,725.0,4,Full-Time,N,68526.0,Credit Card,18314,Single,N,Male,0.1016,18353,N
29.8,716.0,0,Full-Time,N,37850.0,Mortgage,3438,Married,N,Female,0.095,3466,N
35.0,736.0,4,Full-Time,N,27484.0,Mortgage,1888,Single,N,Female,0.0797,1893,N
19.4,988.0,1,Full-Tme,N,197778.0,Credit Crad,19556,Married,N,Mail,0.0496,19536,N
47.0,600.0,2,Part-Time,Y,184773.0,Credit Card,85352,Married,Y,Female,0.2031,85949,Y
39.1,770.0,2,Full-Time,N,69706.0,Medical,14576,Single,N,Non-Binary,0.1043,14589,N
26.2,725.0,2,Full-Time,Y,48098.0,Auto,10642,Married,N,Female,0.1235,10660,N
26.3,724.0,0,Full-Time,Y,44744.0,Credit Card,2602,Married,N,Female,0.0869,2627,N
47.3,649.0,3,Part-Time,N,93204.0,Credit Card,13899,Married,N,Female,0.1355,14068,Y
29.6,700.0,2,Full-Time,N,72058.0,Auto,6230,Single,N,Female,0.1449,6312,Y
42.3,736.0,3,Full-Time,N,42321.0,Mortgage,6627,Married,N,Female,0.1161,6636,N
23.3,732.0,0,Full-Time,Y,54620.0,Credit Card,3282,Married,N,Female,0.0851,3316,N
40.1,707.0,2,Full-Time,Y,62482.0,Credit Card,16397,Married,N,Male,0.1096,16452,N
47.6,652.0,2,Part-Time,Y,117462.0,Auto,48290,Single,Y,Female,0.1702,48476,Y
37.3,713.0,2,Full-Time,N,75309.0,Credit Card,6806,Single,N,Female,0.0992,6859,N
44.5,790.0,3,Full-Time,Y,78427.0,Medical,6150,Married,N,Female,0.0813,6178,N
48.5,702.0,2,Part-Time,N,142614.0,Business,56947,Married,Y,Female,0.1585,57200,Y
43.5,670.0,2,Part-Time,N,77970.0,Credit Card,10942,Married,N,Female,0.1326,11086,Y
47.5,668.0,2,Unemployed,N,105446.0,Business,30020,Married,Y,Male,0.1613,30244,Y
28.6,747.0,0,Full-Time,Y,30331.0,Auto,2300,Married,N,Female,0.0775,2309,N
43.2,731.0,0,Full-Time,N,47943.0,Business,4137,Single,N,Female,0.0895,4157,N
30.6,777.0,4,Full-Time,Y,71829.0,Medical,7739,Single,N,Female,0.0802,7756,N
41.8,687.0,2,Full-Time,N,97724.0,Credit Card,84040,Single,N,Female,0.1233,84171,N
36.8,716.0,0,Full-Time,N,53247.0,Credit Card,12475,Married,N,Female,0.0967,12529,N
52.9,736.0,2,Full-Time,N,152475.0,Credit Card,76719,Married,N,Female,0.158,76819,N
26.1,806.0,2,Full-Time,Y,35779.0,Credit Card,2304,Married,N,Female,0.0408,2308,N
24.0,700.0,2,Part-Time,N,68849.0,Business,27493,Single,Y,Male,0.1383,27576,Y
35.4,756.0,2,Full-Time,Y,70659.0,Auto,13979,Married,N,Female,0.128,14008,N
43.0,622.0,2,Part-Time,Y,109770.0,Credit Card,7229,Single,Y,Male,0.1571,7482,Y
61.3,676.0,0,Full-Time,Y,42329.0,Credit Card,6988,Married,N,Female,0.1046,7027,N
39.5,736.0,2,Full-Time,N,58511.0,Mortgage,7532,Married,N,Female,0.0938,7553,N
28.9,722.0,1,Full-Time,N,42646.0,Auto,11276,Married,N,Male,0.1044,11295,N
23.9,716.0,2,Part-Time,N,84314.0,Credit Card,12085,Single,N,Female,0.1381,12168,N
41.6,755.0,3,Full-Time,Y,72505.0,Business,9462,Married,N,Female,0.1106,9484,N
33.2,728.0,2,Full-Time,N,49523.0,Credit Card,3433,Single,N,Non-Binary,0.1034,3465,N
36.7,657.0,2,Part-Time,N,113791.0,Auto,51793,Single,Y,Male,0.1647,52018,Y
46.4,711.0,2,Full-Time,N,97033.0,Mortgage,11298,Single,N,Female,0.1378,11351,N
47.5,683.0,2,Full-Time,N,93487.0,Auto,8739,Single,N,Male,0.1554,8835,N
39.3,727.0,2,Full-Time,N,87381.0,Business,13743,Single,N,Male,0.1084,13798,N
21.8,673.0,1,Part-Time,Y,68596.0,Credit Card,23056,Single,N,Male,0.1178,23193,Y
31.4,789.0,2,Full-Time,N,50547.0,Mortgage,4854,Single,N,Male,0.0723,4862,N
43.1,730.0,2,Full-Time,Y,56609.0,Credit Card,4166,Married,N,Female,0.0906,4212,N
51.9,750.0,2,Full-Time,Y,93795.0,Credit Card,11436,Married,N,Male,0.1254,11477,N
35.4,724.0,0,Full-Time,N,74915.0,Business,11225,Single,N,Female,0.141,11254,N
48.4,706.0,2,Part-Time,N,136744.0,Auto,16828,Single,Y,Male,0.1512,17054,Y
27.8,824.0,2,Full-Time,N,61134.0,Medical,7101,Married,N,Male,0.0769,7103,N
44.9,659.0,2,Unemployed,N,72847.0,Credit Card,6899,Single,Y,Female,0.1486,7020,Y
44.0,709.0,2,Full-Time,N,61790.0,Credit Card,4581,Single,N,Female,0.1262,4602,N
39.4,705.0,0,Full-Time,Y,43094.0,Credit Card,5385,Married,N,Male,0.1068,5413,N
